"nome_name_do_brasil","minuscula_sem_acento","maiuscula_sem_acento","first_sem_acento","minuscula_com_acento","maiuscula_com_acento","first_com_acento"
"AAGUINALDO","aaguinaldo","AAGUINALDO","Aaguinaldo","aaguinaldo","AAGUINALDO","Aaguinaldo"
"AALMEIDA","aalmeida","AALMEIDA","Aalmeida","aalmeida","AALMEIDA","Aalmeida"
"AAPARECIDA","aaparecida","AAPARECIDA","Aaparecida","aaparecida","AAPARECIDA","Aaparecida"
"AAPRECIDA","aaprecida","AAPRECIDA","Aaprecida","aaprecida","AAPRECIDA","Aaprecida"
"AARAO","aarao","AARAO","Aarao","aarao","AARAO","Aarao"
"AARON","aaron","AARON","Aaron","aaron","AARON","Aaron"
"ABADIAS","abadias","ABADIAS","Abadias","abadias","ABADIAS","Abadias"
"ABADIO","abadio","ABADIO","Abadio","abadio","ABADIO","Abadio"
"ABALA","abala","ABALA","Abala","abala","ABALA","Abala"
"ABARZA","abarza","ABARZA","Abarza","abarza","ABARZA","Abarza"
"ABBUD","abbud","ABBUD","Abbud","abbud","ABBUD","Abbud"
"ABDA","abda","ABDA","Abda","abda","ABDA","Abda"
"ABDALA","abdala","ABDALA","Abdala","abdala","ABDALA","Abdala"
"ABDALLA","abdalla","ABDALLA","Abdalla","abdalla","ABDALLA","Abdalla"
"ABDO","abdo","ABDO","Abdo","abdo","ABDO","Abdo"
"ABDOUNI","abdouni","ABDOUNI","Abdouni","abdouni","ABDOUNI","Abdouni"
"ABDUL","abdul","ABDUL","Abdul","abdul","ABDUL","Abdul"
"ABE","abe","ABE","Abe","abe","ABE","Abe"
"ABEL","abel","ABEL","Abel","abel","ABEL","Abel"
"ABELARDO","abelardo","ABELARDO","Abelardo","abelardo","ABELARDO","Abelardo"
"ABELINA","abelina","ABELINA","Abelina","abelina","ABELINA","Abelina"
"ABELING","abeling","ABELING","Abeling","abeling","ABELING","Abeling"
"ABELITA","abelita","ABELITA","Abelita","abelita","ABELITA","Abelita"
"ABENILTON","abenilton","ABENILTON","Abenilton","abenilton","ABENILTON","Abenilton"
"ABERTONI","abertoni","ABERTONI","Abertoni","abertoni","ABERTONI","Abertoni"
"ABIB","abib","ABIB","Abib","abib","ABIB","Abib"
"ABICH","abich","ABICH","Abich","abich","ABICH","Abich"
"ABIGAIL","abigail","ABIGAIL","Abigail","abigail","ABIGAIL","Abigail"
"ABILIO","abilio","ABILIO","Abilio","abilio","ABILIO","Abilio"
"ABINDABE","abindabe","ABINDABE","Abindabe","abindabe","ABINDABE","Abindabe"
"ABINER","abiner","ABINER","Abiner","abiner","ABINER","Abiner"
"ABIRACHED","abirached","ABIRACHED","Abirached","abirached","ABIRACHED","Abirached"
"ABISSI","abissi","ABISSI","Abissi","abissi","ABISSI","Abissi"
"ABNER","abner","ABNER","Abner","abner","ABNER","Abner"
"ABOU","abou","ABOU","Abou","abou","ABOU","Abou"
"ABOUD","aboud","ABOUD","Aboud","aboud","ABOUD","Aboud"
"ABRAAO","abraao","ABRAAO","Abraao","abraao","ABRAAO","Abraao"
"ABRAHAO","abrahao","ABRAHAO","Abrahao","abrahao","ABRAHAO","Abrahao"
